function,dimensions,observation_count,bound_profile,candidate_scheme,candidate_count,strategy,kappa,xi,query,submission_query,predicted_mean,predictive_std,acquisition_score,fitted_kernel,duplicate_at_6dp,experiment_status
7,6,41,standard,sobol,32768,ucb_kappa_0.1,0.1,,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.13899012054371,0.1648607999051346,2.155476200534223,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=1.2e-10)",False,sensitivity_only_not_submitted
7,6,41,standard,sobol,32768,ucb_kappa_0.5,0.5,,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.13899012054371,0.1648607999051346,2.2214205204962774,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=1.2e-10)",False,sensitivity_only_not_submitted
7,6,41,standard,sobol,32768,ucb_kappa_1,1.0,,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.13899012054371,0.1648607999051346,2.3038509204488444,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=1.2e-10)",False,sensitivity_only_not_submitted
7,6,41,standard,sobol,32768,ucb_kappa_2,2.0,,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.13899012054371,0.1648607999051346,2.468711720353979,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=1.2e-10)",False,sensitivity_only_not_submitted
7,6,41,standard,sobol,32768,expected_improvement_xi_0.01,,0.01,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.13899012054371,0.1648607999051346,0.05584085496549622,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=1.2e-10)",False,sensitivity_only_not_submitted
7,6,41,wide,sobol,32768,ucb_kappa_0.1,0.1,,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.138990144136571,0.16486082033491634,2.1554762261700624,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=2.4e-11)",False,sensitivity_only_not_submitted
7,6,41,wide,sobol,32768,ucb_kappa_0.5,0.5,,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.138990144136571,0.16486082033491634,2.221420554304029,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=2.4e-11)",False,sensitivity_only_not_submitted
7,6,41,wide,sobol,32768,ucb_kappa_1,1.0,,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.138990144136571,0.16486082033491634,2.3038509644714873,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=2.4e-11)",False,sensitivity_only_not_submitted
7,6,41,wide,sobol,32768,ucb_kappa_2,2.0,,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.138990144136571,0.16486082033491634,2.4687117848064037,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=2.4e-11)",False,sensitivity_only_not_submitted
7,6,41,wide,sobol,32768,expected_improvement_xi_0.01,,0.01,"[0.020847,0.223798,0.888713,0.219537,0.373389,0.78058]",0.020847-0.223798-0.888713-0.219537-0.373389-0.780580,2.138990144136571,0.16486082033491634,0.05584087365600685,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=2.4e-11)",False,sensitivity_only_not_submitted
8,8,51,standard,sobol,32768,ucb_kappa_0.1,0.1,,"[0.001025,0.020575,0.117917,0.133724,0.718651,0.596379,0.197388,0.552051]",0.001025-0.020575-0.117917-0.133724-0.718651-0.596379-0.197388-0.552051,9.957964963895972,0.15566406673098773,9.97353137056907,"0.995**2 * Matern(length_scale=[1.24, 2, 1.01, 2, 2, 2, 1.28, 2], nu=2.5) + WhiteKernel(noise_level=1.84e-09)",False,sensitivity_only_not_submitted
8,8,51,standard,sobol,32768,ucb_kappa_0.5,0.5,,"[0.001025,0.020575,0.117917,0.133724,0.718651,0.596379,0.197388,0.552051]",0.001025-0.020575-0.117917-0.133724-0.718651-0.596379-0.197388-0.552051,9.957964963895972,0.15566406673098773,10.035796997261466,"0.995**2 * Matern(length_scale=[1.24, 2, 1.01, 2, 2, 2, 1.28, 2], nu=2.5) + WhiteKernel(noise_level=1.84e-09)",False,sensitivity_only_not_submitted
8,8,51,standard,sobol,32768,ucb_kappa_1,1.0,,"[0.07442,0.072831,0.096773,0.067272,0.920825,0.504265,0.1132,0.927964]",0.074420-0.072831-0.096773-0.067272-0.920825-0.504265-0.113200-0.927964,9.885982302825964,0.2357715251256688,10.121753827951633,"0.995**2 * Matern(length_scale=[1.24, 2, 1.01, 2, 2, 2, 1.28, 2], nu=2.5) + WhiteKernel(noise_level=1.84e-09)",False,sensitivity_only_not_submitted
